code,city,country,name,latitude,longitude
SRJ,San Borja,Bolivia,Capitán Av. German Quiroga G. Airport,-14.8592,-66.7375
NZA,Nazca,Peru,Maria Reiche Neuman Airport,-14.854192,-74.961811
TDD,Trinidad,Bolivia,Tte Av Jorge Henrich Arauz,-14.818739,-64.918019
FXO,Cuamba (Nova Freixo),Mozambique,Cuamba,-14.8175,36.528333
IOS,Ilheus,Brazil,Ilheus,-14.815964,-39.033197
PKP,Pukapuka,French Polynesia,Puka Puka,-14.809458,-138.812811
RPB,Roper Bar,Australia,Roper Bar,-14.73457,134.5252
TKP,Takapoto,French Polynesia,Takapoto,-14.709544,-145.245814
LZR,Lizard Island,Australia,Lizard Island Airport,-14.673056,145.454444
SPP,Menongue,Angola,Menongue,-14.657583,17.719833
ZWA,Andapa,Madagascar,Andapa,-14.651667,49.620556
HVA,Analalava,Madagascar,Analalava,-14.629694,47.763783
KTR,Katherine,Australia,Tindal Airport,-14.5211,132.378
MNC,Nacala,Mozambique,Nacala,-14.488233,40.71225
TKX,Takaroa,French Polynesia,Takaroa,-14.455781,-145.024542
XMH,Manihi,French Polynesia,Manihi,-14.436764,-146.070056
RBQ,Rurrenabaque,Bolivia,Rurrenabaque Airport,-14.4275,-67.498056
DMT,Diamantino,Brazil,Diamantino Airport,-14.408889,-56.445833
PPG,Pago Pago,American Samoa,Pago Pago Intl,-14.331,-170.7105
FUT,Futuna,Wallis and Futuna Islands,Pointe Vele Airport,-14.3114,-178.066
CMK,Makokola,Malawi,Club Makokola Airport,-14.3069,35.1325
REY,Reyes,Bolivia,Reyes Airport,-14.3044,-67.3534
SVB,Sambava,Madagascar,Sambava,-14.278611,50.174721
GNM,Guanambi,Brazil,Guanambi Airport,-14.216667,-42.783333
FTI,Fitiuta,American Samoa,Fitiuta Airport,-14.216111,-169.423611
OFU,Ofu Island,American Samoa,Ofu Airport,-14.184444,-169.67
